num_iters,mean,std,c95l,c95h,al,ah
1,0.13583987097617534, 0.01933946711121384, 0.13546081742079555,0.13621892453155512, -0.16664710062076948,0.29289321610916796
2,0.02746004686177181, 0.027966893357377915, 0.026911895751967202,0.028008197971576415, -0.2414410432289602,0.390683320550956
3,0.012938710787663206, 0.0043925965983515535, 0.012852615894335517,0.013024805680990896, -0.13651694265184733,0.17018923352259685
4,-0.0019791200325607497, 0.0011496718171285527, -0.0020016536001764692,-0.00195658646494503, -0.09703424311106001,0.07304699400249237
5,-0.0005881214013397962, 0.00031302523617789883, -0.000594256695968883,-0.0005819861067107093, -0.04775919651779936,0.049272143074958086
6,-0.00011610997515989596, 8.576900980731896e-05, -0.00011779104775211941,-0.0001144289025676725, -0.024942153859283667,0.025453977086975166
7,-2.9773830754918695e-05, 2.2190272171098968e-05, -3.0208760089472234e-05,-2.9338901420365156e-05, -0.012579845574154369,0.012974180951062175
8,6.8501802355644954e-06, 5.5477154695807516e-06, 6.741445012360713e-06,6.958915458768278e-06, -0.006489942029555773,0.006463088274447304
9,1.584788656565017e-05, 1.3939204815191679e-06, 1.5820565724212394e-05,1.5875207407087947e-05, -0.003275168361527414,0.003249592539294799
10,-7.436162530767088e-06, 3.4678202117546553e-07, -7.442959458382127e-06,-7.429365603152049e-06, -0.0016079100423174175,0.0015935184862643226
11,1.4168022923467526e-06, 8.741103118739129e-08, 1.4150890361354798e-06,1.4185155485580254e-06, -0.0008102431205933014,0.000811942780844177
12,-5.116983726597968e-07, 2.146797080088312e-08, -5.12119144887494e-07,-5.112776004320995e-07, -0.00040500213961292,0.0004050287354079307
13,5.8666569346588204e-08, 5.354199238880608e-09, 5.8561627041506145e-08,5.877151165167026e-08, -0.00020068997575106717,0.00020351136952168059
14,5.468296507648018e-07, 1.3562509617012939e-09, 5.468030682459524e-07,5.468562332836512e-07, -0.00010001253377145414,0.00010076765753197492
15,5.218391996473226e-08, 3.367247591131063e-10, 5.217732015945364e-08,5.219051977001088e-08, -5.0700115109436616e-05,5.036276723213717e-05
16,-1.5403487940379712e-08, 8.1798198156911e-11, -1.5405091185063587e-08,-1.5401884695695838e-08, -2.473206605813072e-05,2.531507378011888e-05
17,4.197957658635954e-09, 2.1416434470533883e-11, 4.197537896520331e-09,4.198377420751576e-09, -1.2558812704344113e-05,1.2472820512532401e-05
18,-5.0413774429380884e-09, 5.359444942866645e-12, -5.041482488058969e-09,-5.041272397817208e-09, -6.4065544167490884e-06,6.343129092312161e-06
19,-6.822781239579356e-09, 1.3404059706167997e-12, -6.82280751153638e-09,-6.8227549676223325e-09, -3.1328991151324814e-06,3.1566536027316516e-06
20,1.0485301232399102e-08, 3.312865520538086e-13, 1.0485294739182683e-08,1.0485307725615522e-08, -1.5879635736348874e-06,1.593525684406849e-06
21,6.173952433474739e-09, 8.065337583373658e-14, 6.173950852668573e-09,6.173954014280905e-09, -7.865719681143801e-07,7.940204227452341e-07
22,2.5920984162541847e-09, 2.033853345059287e-14, 2.5920980176189292e-09,2.5920988148894402e-09, -3.9295637088709867e-07,4.057045057681563e-07
23,5.096879360966256e-09, 5.121374610216978e-15, 5.0968792605873134e-09,5.096879461345198e-09, -1.9586207211652606e-07,2.0648838672254755e-07
24,4.162805677576653e-09, 1.2750779686584773e-15, 4.1628056525851246e-09,4.1628057025681815e-09, -9.89236693671458e-08,1.0439905717696263e-07
25,5.28529755829954e-09, 3.290396733356681e-16, 5.285297551850363e-09,5.2852975647487176e-09, -4.903980865833546e-08,5.9040959787814984e-08
26,5.697733562337603e-09, 8.54372644353161e-17, 5.697733560663033e-09,5.6977335640121735e-09, -2.3003106863761502e-08,3.659728986527e-08
27,5.841647558779695e-09, 2.4512271649327733e-17, 5.841647558299254e-09,5.841647559260135e-09, -1.2494126178097531e-08,2.477868543682149e-08
28,6.143216938780949e-09, 9.669966490719847e-18, 6.143216938591418e-09,6.14321693897048e-09, -7.996377004992894e-09,2.288712896980627e-08
29,6.460488671145015e-09, 6.0956626054892794e-18, 6.4604886710255406e-09,6.46048867126449e-09, -5.201128971954461e-09,1.825650053355332e-08
30,6.786773366229681e-09, 5.4367851159566126e-18, 6.78677336612312e-09,6.786773366336242e-09, -4.867314218337526e-09,1.6744925002143418e-08
31,7.065040283926738e-09, 5.248455256675561e-18, 7.065040283823868e-09,7.065040284029608e-09, -4.083084759187727e-09,1.8995996553528016e-08
32,7.292967375871484e-09, 5.0827622289236365e-18, 7.2929673757718615e-09,7.292967375971106e-09, -6.067662594588796e-09,1.7053274681266828e-08
33,7.541932005006303e-09, 5.358056194561821e-18, 7.541932004901285e-09,7.54193200511132e-09, -2.0626884644769916e-09,1.8275447266624667e-08
34,1.114916395070655, 0.11103394450565345, 1.1127401297583444,1.1170926603829658, -2.268624732515434e-09,1.2145058874497667
35,1.1155236478026502, 0.11041701538117552, 1.1133594743011792,1.1176878213041213, -2.7833632065821234e-09,1.2145058862693578
36,1.118924263953363, 0.10694858368443072, 1.1168280717131482,1.1210204561935777, -3.380891122617413e-09,1.2145058850066164
37,1.1161309002372555, 0.10979934873614888, 1.113978833002027,1.118282967472484, -4.80244621847703e-10,1.2145058855722106
38,1.111637228312213, 0.11435261644366554, 1.109395917029917,1.1138785395945088, -2.472264615249742e-10,1.2145058849572001
39,1.1155236468365093, 0.11041701497652623, 1.1133594733429695,1.117687820330049, -2.1049378906567995e-09,1.2145058844811387
