num_iters,mean,std,c95l,c95h,al,ah
1,0.13448062042572276, 0.0189836905653859, 0.13178010666578768,0.13718113418565783, -0.16672427626149544,0.29289321134494106
2,0.029505136497741183, 0.028366024121284597, 0.02620406215346587,0.032806210842016494, -0.24154801688055394,0.39087631137264756
3,0.014352970027188309, 0.004332129068007757, 0.013062919368196244,0.015643020686180373, -0.13653483978834502,0.1700319100119394
4,-0.0022428222194969785, 0.0011705019114558492, -0.002913389154489213,-0.0015722552845047445, -0.09702986771887423,0.07306193525216198
5,-0.00024012189979443703, 0.0003149082710595692, -0.0005879367376180183,0.00010769293802914421, -0.04771804072833041,0.04926707917106021
6,0.00012076084600698467, 8.670208791795469e-05, -6.174250764593173e-05,0.00030326419965990105, -0.024921622535425736,0.02553906614975987
7,-8.341516269955478e-05, 2.1669997577757774e-05, -0.0001746552102087019,7.824884809592346e-06, -0.012718686176142469,0.01288233912083292
8,-1.879331377403913e-05, 5.5517625148204735e-06, -6.497518346002557e-05,2.7388555911947307e-05, -0.006489816240534019,0.00648816245941608
9,6.346611721933182e-06, 1.4199501050099365e-06, -1.7009073503309456e-05,2.970229694717582e-05, -0.0031961464461461864,0.00324665845761829
10,4.878318501298318e-06, 3.5388400422661774e-07, -6.781358984108278e-06,1.6537995986704916e-05, -0.001617222090175674,0.0016229080195685475
11,-5.875792929306289e-07, 8.708660201356583e-08, -6.3716253706803085e-06,5.19646678481905e-06, -0.0008101533271070993,0.0008160177244262989
12,-2.382622015355085e-06, 2.1792778383094414e-08, -5.276047968036361e-06,5.108039373261912e-07, -0.00040272766325188947,0.0004070080157635436
13,-5.417512921627621e-07, 5.441910244724632e-09, -1.987629654824509e-06,9.041270704989848e-07, -0.00020357777106527752,0.00020322266005612377
14,-7.67973451520687e-08, 1.3521703300103957e-09, -7.975259722904624e-07,6.439312819863249e-07, -0.00010133713172266745,0.00010038044953908365
15,-3.4491327678742854e-09, 3.3667732138905155e-10, -3.6308500387199266e-07,3.5618673833624406e-07, -5.000790007425593e-05,5.0924196129731314e-05
16,1.4777207948846183e-09, 8.463759488114536e-11, -1.7883971721248283e-07,1.8179515880225207e-07, -2.552387255239097e-05,2.5157622185911777e-05
17,1.00277608566679e-08, 2.1264075509867108e-11, -8.035369325793764e-08,1.0040921497127344e-07, -1.2749489770480515e-05,1.2698689932477691e-05
18,1.9024446073878652e-08, 5.287058910451812e-12, -2.6043020584889376e-08,6.409191273264668e-08, -6.401934504518536e-06,6.3813801546297455e-06
19,-1.0064211704008396e-08, 1.3218232372566673e-12, -3.259844377045613e-08,1.2470020362439336e-08, -3.170272360741855e-06,3.208740951832212e-06
20,-7.397527127195325e-10, 3.331713972419227e-13, -1.2053068935846022e-08,1.0573563510406957e-08, -1.5825450413453623e-06,1.605129025472607e-06
21,5.470144879782257e-09, 8.245679820394281e-14, -1.5805230919634817e-10,1.1098342068760862e-08, -7.930677793366314e-07,8.024608240120301e-07
22,3.833605684055996e-09, 2.1161086810621853e-14, 9.824229278706808e-10,6.6847884402413114e-09, -3.9022198405902486e-07,4.02374663366345e-07
23,5.287477509829941e-09, 5.065867483790559e-15, 3.89244931922841e-09,6.682505700431472e-09, -1.9352039215547734e-07,2.0596563987673733e-07
24,5.074815958228119e-09, 1.2897468173215895e-15, 4.370920271821203e-09,5.778711644635034e-09, -9.507778453432536e-08,1.0661721139282321e-07
25,5.144973478554693e-09, 3.3136249180452393e-16, 4.7881875275257516e-09,5.5017594295836345e-09, -4.886915094814981e-08,5.897145205491228e-08
26,5.635181696461711e-09, 8.267748882342072e-17, 5.456964457939717e-09,5.813398934983704e-09, -2.5427199346061968e-08,3.5295113387512345e-08
27,5.918286297290631e-09, 2.4688575302434472e-17, 5.820898602543382e-09,6.01567399203788e-09, -1.2775241753359978e-08,2.45072161453308e-08
28,6.201285949980484e-09, 9.87384202818385e-18, 6.139697516378491e-09,6.2628743835824774e-09, -6.574455757579756e-09,2.2533870880359075e-08
29,6.453886749613336e-09, 6.313841927459988e-18, 6.404637125098493e-09,6.5031363741281785e-09, -3.796193470684273e-09,1.9244174920274304e-08
30,6.732933691000475e-09, 5.212925256338391e-18, 6.688183301432619e-09,6.777684080568332e-09, -4.833248579139138e-09,1.8702177695395505e-08
31,7.054241995507748e-09, 5.175391641559388e-18, 7.009653000755439e-09,7.098830990260058e-09, -3.6202592035294856e-09,1.765866552982942e-08
32,7.3284308339638394e-09, 5.083338336221118e-18, 7.284240164640523e-09,7.3726215032871556e-09, -4.004304221538746e-09,1.8869848461555705e-08
