num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
14,19,5.5565648160771365e-06, 1.4029789095535135e-09, 3.2349955668535044e-06,7.878134065300768e-06, -9.448435059633553e-05,0.00011359784823150587,1.43385432210878e-09
15,19,8.036906738654203e-06, 3.5943811569096256e-10, 6.861824841406866e-06,9.21198863590154e-06, -4.8069677056394866e-05,6.458535470821314e-05,4.240299856167879e-10
16,19,7.649970642279013e-06, 9.434123869722127e-11, 7.047956271537545e-06,8.251985013020481e-06, -2.0026320088906147e-05,3.8008617473606066e-05,1.5286328952495204e-10
17,19,8.699204979010112e-06, 2.965194704255361e-11, 8.361698060920017e-06,9.036711897100207e-06, -1.0898275744075647e-05,2.594245998266409e-05,1.053281143093879e-10
18,19,9.131591012397355e-06, 1.6421821826541613e-11, 8.88042160596249e-06,9.38276041883222e-06, -1.1322577607608686e-05,2.808690326683294e-05,9.980777624423777e-11
19,19,9.560042009322588e-06, 1.3665784212692132e-11, 9.33091654886156e-06,9.789167469783616e-06, -9.217510758108283e-06,2.7278960584409262e-05,1.0506018743270483e-10
14,20,2.2974375573061588e-06, 1.4170229635718479e-09, -3.572240653207105e-08,4.630597521144389e-06, -9.335280253497391e-05,0.00010429476852402697,1.4223011829015689e-09
15,20,4.110808313727676e-06, 3.5386557574320206e-10, 2.9448709244245096e-06,5.276745703030843e-06, -4.608315554210929e-05,5.7348972873794146e-05,3.707643207354147e-10
16,20,4.631921986470444e-06, 8.746186038241895e-11, 4.052272538230303e-06,5.211571434710586e-06, -2.2216975905875458e-05,2.9501785928309765e-05,1.0891656167116725e-10
17,20,4.9103439767562705e-06, 2.4292895435837544e-11, 4.604854881850555e-06,5.215833071661986e-06, -1.460451578072508e-05,1.9010818505194038e-05,4.840437340590414e-11
18,20,5.20917346373706e-06, 8.116750644613403e-12, 5.03259116202948e-06,5.38575576544464e-06, -4.959323485542733e-06,1.5532009567387206e-05,3.5252238819915764e-11
19,20,5.2901878749757045e-06, 4.48238914266211e-12, 5.158964606724792e-06,5.421411143226617e-06, -4.054720716517579e-06,1.2639325990715378e-05,3.246847689520207e-11
