num_iters,frac_bits,mean,std,c95l,c95h,al,ah,mse
10,10,0.0030182280603848178, 1.3880312454373005e-06, 0.00278731117420124,0.0032491449465683955, -0.00050628200206293,0.0074431062416752125,1.0497731869931598e-05
11,10,0.003144972663405148, 9.495195934915063e-07, 0.0029539838032494577,0.003335961523560838, 0.00020854801114766897,0.005579103110744277,1.0840372647057178e-05
12,10,0.0035900416846986094, 2.0014620504982646e-06, 0.0033127545300521287,0.00386732883934509, -0.0006217468028707485,0.007982906654093846,1.4889861348371893e-05
13,10,0.0038108860671066036, 1.6076577091801193e-06, 0.003562370919568544,0.004059401214644663, 0.00046654075655327976,0.006465093429977031,1.6130510325647358e-05
14,10,0.004159073469723041, 2.5674831474210185e-06, 0.003845015461400811,0.004473131478045271, 0.0008907503557946672,0.008795366989036268,1.986537527397508e-05
15,10,0.004335082634044173, 3.7258370411816254e-06, 0.003956755056706711,0.004713410211381635, -0.0001469769716905267,0.0105309706273633,2.2518778485172986e-05
16,10,0.0048061656669266695, 4.542209024621219e-06, 0.0043884414733612875,0.0052238898604920515, -0.00021801713527980215,0.009958307040099035,2.7641437442565896e-05
17,10,0.005225397051223218, 4.7659781965245005e-06, 0.004797507090605204,0.005653287011841232, 0.0010886381279909818,0.009794257796749029,3.2070752539456805e-05
18,10,0.0054275852902361, 5.966475323026005e-06, 0.004948828445888819,0.005906342134583382, 0.00035200914380573156,0.010106187441504155,3.54251574058133e-05
19,10,0.005487483295454046, 6.649002338188287e-06, 0.004982084370025982,0.00599288222088211, -0.0003917457308314498,0.010279408695823555,3.6761475256075484e-05
20,10,0.0056301361332974365, 8.706931515507912e-06, 0.005051788935586795,0.006208483331008078, 0.00107107867008005,0.011396123539275327,4.040536439496932e-05
21,10,0.005996719633935622, 1.1969162352518995e-05, 0.005318628680645158,0.006674810587226086, 0.0005915237027419584,0.013309870559359838,4.792980872054797e-05
22,10,0.006204204770431585, 1.5211538651086555e-05, 0.005439766107869217,0.006968643432993953, -0.0013406603530948802,0.012428032677614831,5.370369548453259e-05
23,10,0.006172802085203988, 1.442055827638948e-05, 0.005428503645903073,0.006917100524504903, -0.0006727255757851269,0.013856528892372877,5.252404385948818e-05
24,10,0.006940562364134346, 1.841321098825043e-05, 0.006099514260085221,0.007781610468183471, 0.0005863733730824272,0.012907495707039085,6.658461691868856e-05
25,10,0.007588318899255775, 2.203152738923834e-05, 0.0066683389232862,0.00850829887522535, 0.0002911666189240325,0.014872894023670535,7.961411110604071e-05
26,10,0.007743745844628962, 2.4169904872786535e-05, 0.006780153054290135,0.00870733863496779, 0.0002937078906848356,0.015628471676273903,8.413550457899484e-05
27,10,0.008172679194014343, 2.597865198638511e-05, 0.007173681749218327,0.009171676638810359, 3.608717932268579e-05,0.016298305970310678,9.277133719466002e-05
28,10,0.00886363052535348, 3.075715342541011e-05, 0.007776631534557926,0.009950629516149036, 0.0010476600607802755,0.01719746158488944,0.00010932109951538814
29,10,0.007943852984224483, 3.3067625327720995e-05, 0.006816765634197995,0.00907094033425097, -0.0004334708459431402,0.017258614867618594,9.61724255626932e-05
10,15,0.00013840476575555427, 3.788310260585773e-07, 1.7768234401795984e-05,0.0002590412971093126, -0.001470842014084539,0.0016100664948689447,3.979869052424271e-07
11,15,0.00013583179699140136, 7.663492835222354e-08, 8.157308886469583e-05,0.0001900905051181069, -0.00048111072999623694,0.0008514271121351502,9.50852054261368e-08
12,15,7.6948918089087e-05, 2.0721149962484982e-08, 4.873502617466259e-05,0.0001051628100035114, -0.0002738078338919703,0.0004370415709118447,2.6642285957566005e-08
13,15,0.00010592873166955785, 5.413638887604046e-09, 9.150755448091624e-05,0.00012034990885819946, -5.8578211578397266e-05,0.0002653605078496435,1.6634535080725235e-08
14,15,0.00011506682864188877, 3.737235477537503e-09, 0.00010308477380538094,0.0001270488834783966, -5.539002428001094e-05,0.0003442471981954798,1.6977610531239298e-08
15,15,0.00012292693048719162, 2.81162573721278e-09, 0.00011253407648452392,0.00013331978448985932, 1.4225925315636267e-05,0.0002936832611154516,1.792265597621562e-08
